team,role_group,player,source_url
Chennai Super Kings,All Rounders,Aman Khan,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,All Rounders,Jamie Overton,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,All Rounders,Matthew William Short,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,All Rounders,Prashant Veer,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,All Rounders,Ramakrishna Ghosh,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,All Rounders,Shivam Dube,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,All Rounders,Zak Foulkes,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Batters,Ayush Mhatre,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Batters,Dewald Brevis,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Batters,Kartik Sharma,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Batters,MS Dhoni,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Batters,Ruturaj Gaikwad,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Batters,Sanju Samson,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Batters,Sarfaraz Khan,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Batters,Urvil Patel,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Akeal Hosein,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Anshul Kamboj,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Gurjapneet Singh,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Khaleel Ahmed,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Matt Henry,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Mukesh Choudhary,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Noor Ahmad,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Rahul Chahar,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Shreyas Gopal,https://www.iplt20.com/teams/chennai-super-kings
Chennai Super Kings,Bowlers,Spencer Johnson,https://www.iplt20.com/teams/chennai-super-kings
Delhi Capitals,All Rounders,Ajay Mandal,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,All Rounders,Ashutosh Sharma,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,All Rounders,Axar Patel,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,All Rounders,Madhav Tiwari,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,All Rounders,Nitish Rana,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,All Rounders,Sameer Rizvi,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,All Rounders,Tripurana Vijay,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,All Rounders,Vipraj Nigam,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,Abishek Porel,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,Ben Duckett,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,David Miller,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,KL Rahul,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,Karun Nair,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,Pathum Nissanka,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,Prithvi Shaw,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,Sahil Parakh,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Batters,Tristan Stubbs,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Bowlers,Auqib Nabi,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Bowlers,Dushmantha Chameera,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Bowlers,Kuldeep Yadav,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Bowlers,Kyle Jamieson,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Bowlers,Lungisani Ngidi,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Bowlers,Mitchell Starc,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Bowlers,Mukesh Kumar,https://www.iplt20.com/teams/delhi-capitals
Delhi Capitals,Bowlers,T. Natarajan,https://www.iplt20.com/teams/delhi-capitals
Gujarat Titans,All Rounders,Jason Holder,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,All Rounders,Jayant Yadav,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,All Rounders,Mohd. Arshad Khan,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,All Rounders,Nishant Sindhu,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,All Rounders,Rahul Tewatia,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,All Rounders,Sai Kishore,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,All Rounders,Shahrukh Khan,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,All Rounders,Washington Sundar,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Batters,Anuj Rawat,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Batters,Glenn Phillips,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Batters,Jos Buttler,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Batters,Kumar Kushagra,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Batters,Sai Sudharsan,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Batters,Shubman Gill,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Batters,Tom Banton,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Bowlers,Ashok Sharma,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Bowlers,Gurnoor Singh Brar,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Bowlers,Ishant Sharma,https://www.iplt20.com/teams/gujarat-titans
Gujarat Titans,Bowlers,Kagiso Rabada,https://www.iplt20.com/teams/gujarat-titans
